LAST SEEN   TYPE      REASON                  OBJECT                                    MESSAGE
44m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-zczjd        Container image "busybox:1.37" already present on machine and can be accessed by the pod
44m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-qprvn        Container image "busybox:1.37" already present on machine and can be accessed by the pod
44m         Normal    Created                 pod/shared-writer-6f4b987c7b-qprvn        Container created
44m         Normal    Started                 pod/shared-writer-6f4b987c7b-zczjd        Container started
44m         Normal    Created                 pod/shared-writer-6f4b987c7b-zczjd        Container created
44m         Normal    Pulled                  pod/shared-writer-6f4b987c7b-t87cg        Container image "busybox:1.37" already present on machine and can be accessed by the pod
44m         Normal    Started                 pod/shared-writer-6f4b987c7b-t87cg        Container started
43m         Normal    Killing                 pod/shared-writer-6f4b987c7b-zczjd        Stopping container writer
43m         Normal    Killing                 pod/shared-writer-6f4b987c7b-t87cg        Stopping container writer
43m         Normal    Killing                 pod/shared-writer-6f4b987c7b-qprvn        Stopping container writer
42m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-0 Pod webnote-0 in StatefulSet webnote success
42m         Normal    Provisioning            persistentvolumeclaim/content-webnote-0   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-0"
42m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-0   waiting for first consumer to be created before binding
42m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-0   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
42m         Normal    SuccessfulCreate        statefulset/webnote                       Create Pod webnote-0 in StatefulSet webnote successful
42m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-0   Successfully provisioned volume pvc-c98862c7-706a-438e-8ea4-040cc65d1b46
41m         Normal    Created                 pod/webnote-0                             Container created
41m         Normal    Scheduled               pod/webnote-0                             Successfully assigned dso202-practical-02/webnote-0 to worker-node-2
41m         Normal    Pulled                  pod/webnote-0                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
41m         Normal    Started                 pod/webnote-0                             Container started
41m         Normal    Pulling                 pod/webnote-0                             Pulling image "nginx:1.30-alpine"
40m         Normal    Started                 pod/webnote-0                             Container started
40m         Normal    Created                 pod/webnote-0                             Container created
40m         Normal    Pulled                  pod/webnote-0                             Successfully pulled image "nginx:1.30-alpine" in 58.922s (58.922s including waiting). Image size: 28557254 bytes.
40m         Normal    SuccessfulCreate        statefulset/webnote                       Create Claim content-webnote-1 Pod webnote-1 in StatefulSet webnote success
40m         Normal    Provisioning            persistentvolumeclaim/content-webnote-1   External provisioner is provisioning volume for claim "dso202-practical-02/content-webnote-1"
40m         Normal    WaitForFirstConsumer    persistentvolumeclaim/content-webnote-1   waiting for first consumer to be created before binding
40m         Normal    ExternalProvisioning    persistentvolumeclaim/content-webnote-1   Waiting for a volume to be created either by the external provisioner 'rancher.io/local-path' or manually by the system administrator. If volume creation is delayed, please verify that the provisioner is running and correctly registered.
40m         Normal    ProvisioningSucceeded   persistentvolumeclaim/content-webnote-1   Successfully provisioned volume pvc-d14e7aa0-8c95-4b7a-a0c5-d92b70f5971f
40m         Normal    Created                 pod/webnote-1                             Container created
40m         Normal    Scheduled               pod/webnote-1                             Successfully assigned dso202-practical-02/webnote-1 to worker-node-1
40m         Normal    Pulled                  pod/webnote-1                             Container image "busybox:1.37" already present on machine and can be accessed by the pod
40m         Normal    Pulling                 pod/webnote-1                             Pulling image "nginx:1.30-alpine"
40m         Normal    Started                 pod/webnote-1                             Container started
39m         Normal    Created                 pod/webnote-1                             Container created
